id,type,amount,touristId,zone,timestamp
1,TICKET,25.0,1,Lugar de Arribo,2026-05-21T14:45:06.342755400
2,TICKET,25.0,2,Lugar de Arribo,2026-05-21T14:45:06.347224
3,TICKET,25.0,3,Lugar de Arribo,2026-05-21T14:45:06.348453800
4,TICKET,25.0,4,Lugar de Arribo,2026-05-21T14:45:06.348453800
5,TICKET,25.0,5,Lugar de Arribo,2026-05-21T14:45:06.349589300
1,ENCLOSURE_FEE_BASIC,10.0,1,Recinto Básico,2026-05-21T14:45:06.350774100
1,SPA_SERVICE,20.0,2,Baños y SPA,2026-05-21T14:45:06.353169600
1,ENCLOSURE_FEE_PREMIUM,30.0,2,Recinto Premium,2026-05-21T14:45:06.354171500
1,SOUVENIR,15.0,3,Recinto Central,2026-05-21T14:45:06.354171500
1,ENCLOSURE_FEE_VIP,75.0,3,Recinto VIP,2026-05-21T14:45:06.355510600
2,SOUVENIR,15.0,4,Recinto Central,2026-05-21T14:45:06.355510600
2,ENCLOSURE_FEE_VIP,75.0,4,Recinto VIP,2026-05-21T14:45:06.356927500
3,SOUVENIR,15.0,5,Recinto Central,2026-05-21T14:45:06.357923500
2,ENCLOSURE_FEE_BASIC,10.0,5,Recinto Básico,2026-05-21T14:45:06.357923500
6,TICKET,25.0,6,Lugar de Arribo,2026-05-21T14:45:06.368006800
7,TICKET,25.0,7,Lugar de Arribo,2026-05-21T14:45:06.369162700
8,TICKET,25.0,8,Lugar de Arribo,2026-05-21T14:45:06.369162700
9,TICKET,25.0,9,Lugar de Arribo,2026-05-21T14:45:06.370486400
10,TICKET,25.0,10,Lugar de Arribo,2026-05-21T14:45:06.370486400
4,SOUVENIR,15.0,1,Recinto Central,2026-05-21T14:45:06.371485800
3,ENCLOSURE_FEE_BASIC,10.0,1,Recinto Básico,2026-05-21T14:45:06.371485800
2,ENCLOSURE_FEE_PREMIUM,30.0,2,Recinto Premium,2026-05-21T14:45:06.372483
4,ENCLOSURE_FEE_BASIC,10.0,3,Recinto Básico,2026-05-21T14:45:06.373486700
3,ENCLOSURE_FEE_PREMIUM,30.0,4,Recinto Premium,2026-05-21T14:45:06.373486700
5,SOUVENIR,15.0,5,Recinto Central,2026-05-21T14:45:06.374483900
4,ENCLOSURE_FEE_PREMIUM,30.0,5,Recinto Premium,2026-05-21T14:45:06.375487700
6,SOUVENIR,15.0,6,Recinto Central,2026-05-21T14:45:06.375487700
3,ENCLOSURE_FEE_VIP,75.0,6,Recinto VIP,2026-05-21T14:45:06.376738300
7,SOUVENIR,15.0,7,Recinto Central,2026-05-21T14:45:06.376738300
2,SPA_SERVICE,20.0,7,Baños y SPA,2026-05-21T14:45:06.378139600
5,ENCLOSURE_FEE_PREMIUM,30.0,7,Recinto Premium,2026-05-21T14:45:06.378139600
6,ENCLOSURE_FEE_PREMIUM,30.0,8,Recinto Premium,2026-05-21T14:45:06.378139600
8,SOUVENIR,15.0,9,Recinto Central,2026-05-21T14:45:06.379137200
